episode_index,episode_url,comment
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,waitttt alina and nico had an intimate moment 🫣🫣 rooting for them
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,noo i forgot he agreed to the contract marriage ... 😒😒
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,GO AFTER HER GABE
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"NICO DEADASS SAYING GABRIEL SHOULD RETURN HIM CUZ HE CAN'T STAND WATCHING HIM GO THROUGH *ANOTHER* ARRANGED LOVELESS MARRIAGE, I CAAAAN'T!!! ✋🏽😭💔🔥

Also I'm almost 1000% sure Gabe will run back to Brexio ✨️HIMSELF✨️ if Davina doesn't immediately show up.
Val still taken: ""We need to take our time & regroup!!""
Davina taken: *Sets fire to all of Venice to get her back*

Sorry Val, but girls' night is gonna have to take a little bit longer. That, or Gabe yoinks you back NOW to get Vina back asap!! 😩🤣💀"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"My heartttt!!! 😭😭😭 when he ran out, he ran to go see Davina back, but Adam didn't come back with her 😭😭😭😭"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,DONT TOUCH DAVINA!!!!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,listen I love a strong independent woman but sometimes I also want her to get saved by the big strong guy too 😭
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Oh booyyyy… I love a furious, love-struck Gabriel, ready to take down anyone who might hurt Davina 😻"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,This man is about to burn everyone and everything in his path for Davina and I AM SAT
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"""At least I'm not on fire"" my man 🤦‍♀️😂"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Okay Davina he may have the male body strength but start doing what we women to best and apply the ball breakers
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,…next episode needed
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,OK BUT HOW DOES BREIXO KNOW SHES A DIAVOLO??! Also I want Davina to bust herself out
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,he is about to burn the world down..and I'm here for it!!!!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,View
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Nico! He's back! Also, Davina, please, PLEASE be okay! Gabe needs you (And the readers need you to kick Briexos ass 🙃)"
